scorer,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000
bodyparts,left-paw,left-paw,left-paw,left-elbow,left-elbow,left-elbow,right-paw,right-paw,right-paw,right-elbow,right-elbow,right-elbow,chest,chest,chest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,358.69683837890625,233.4062957763672,1.0,397.809326171875,204.88803100585938,1.0,211.03260803222656,229.05300903320312,1.0,262.4166564941406,214.69650268554688,1.0,246.48599243164062,178.61666870117188,1.0
53,358.2451171875,233.27015686035156,1.0,397.8921813964844,205.14959716796875,1.0,213.03707885742188,228.37294006347656,1.0,262.11663818359375,214.82208251953125,1.0,245.3086395263672,178.94078063964844,1.0
54,358.52313232421875,232.96934509277344,1.0,397.73162841796875,204.8179168701172,1.0,213.5038604736328,228.36256408691406,1.0,262.36395263671875,214.72384643554688,1.0,248.87411499023438,179.5706329345703,1.0
55,358.918701171875,233.1277618408203,1.0,397.98748779296875,204.8376007080078,1.0,211.4291229248047,229.45274353027344,1.0,263.1411437988281,214.5317840576172,1.0,246.34603881835938,178.80206298828125,1.0
56,359.0022888183594,233.05661010742188,1.0,397.7613830566406,205.0908203125,1.0,213.15286254882812,228.71876525878906,1.0,263.1903076171875,215.21290588378906,1.0,245.5296173095703,179.0684051513672,1.0
57,358.8885498046875,233.22073364257812,1.0,397.9095764160156,205.16651916503906,1.0,213.47528076171875,228.45396423339844,1.0,262.1890563964844,214.8854217529297,1.0,246.82327270507812,179.79486083984375,1.0
58,360.53851318359375,233.25112915039062,1.0,398.2228088378906,205.02197265625,1.0,211.7921142578125,229.69908142089844,1.0,263.5345458984375,214.8936309814453,1.0,246.49998474121094,179.6367645263672,1.0
59,360.3175354003906,232.5984344482422,1.0,397.8389892578125,204.8114471435547,1.0,213.2515869140625,229.3795166015625,1.0,264.205810546875,216.41873168945312,1.0,247.96719360351562,179.09262084960938,1.0
60,360.66357421875,233.41087341308594,1.0,398.3320007324219,205.00790405273438,1.0,213.68653869628906,228.54296875,1.0,263.76983642578125,215.2082061767578,1.0,247.63458251953125,179.99903869628906,1.0
61,361.9847412109375,232.958984375,1.0,398.3417663574219,204.4607391357422,1.0,212.2510986328125,229.23167419433594,1.0,264.25103759765625,215.3314666748047,1.0,247.07308959960938,180.0091552734375,1.0
